ticker,monitor_bucket,in_current_scan,snapshots_seen,first_seen_snapshot,last_seen_snapshot,promotion_stage,prior_promotion_stage,stage_delta_vs_prev,dynamic_status,prior_dynamic_status,status_delta_vs_prev,validation_lane,governance_role,scan_candidate_track,scan_quality_compounder_fit,scan_quality_compounder_score,history_emergence_persistence_score,scan_event_quality_score,profile_count,pit_cluster_key,pit_free_float_ratio_current,pit_low_float_flag,pit_listing_age_days,pit_fx_return_21d,pit_fx_headwind_flag,pit_earnings_snapshot_count,pit_data_context_score,recent_score,promotion_score,dynamic_conviction_score,monitor_priority_score,needs_algo_attention
CIEN,legacy_universe_gap,1,14,2026-03-20,2026-04-11,targeted_integration,targeted_integration,0,reject,reject,0,weak,research_priority,quality_compounder,high,9.8758,4.7,-0.1151,3,optical-networking,0.9944,0,4148.0,0.0,0,1,0.8875,4.1934,-267.6546,24.6431,10.1293,0
5803.T,legacy_universe_gap,1,9,2026-03-27,2026-04-11,targeted_integration,targeted_integration,0,reject,reject,0,weak,research_priority,quality_compounder,high,9.3096,4.75,0.3721,3,industrials,,0,4148.0,-0.0011,0,2,0.925,2.828,-930.3572,23.9201,10.0116,0
6443.TW,legacy_universe_gap,1,8,2026-03-28,2026-04-11,watch_queue,watch_queue,0,approved,approved,0,mixed_long,archive,emerging_leader,weak,0.0,3.75,0.0,3,technology,0.9887,0,4148.0,0.0027,0,1,0.8875,1.7009,2784.1889,19.1559,10.0011,0
FORM,legacy_universe_gap,1,11,2026-03-23,2026-04-11,targeted_integration,targeted_integration,0,reject,reject,0,weak,research_priority,quality_compounder,medium,8.1031,5.0833,0.0003,3,semiconductors,0.9913,0,4148.0,0.0,0,2,0.925,2.6204,218.5544,19.6509,9.9665,0
KEYS,quality_lane,1,14,2026-03-20,2026-04-11,watch_queue,watch_queue,0,watch,watch,0,mixed_long,watchlist,fringe,medium,7.4917,3.675,-0.0158,3,technology,,0,,0.0,0,1,0.4875,1.0583,1826.1772,17.3087,9.6438,0
STX,legacy_universe_gap,1,14,2026-03-20,2026-04-11,targeted_integration,targeted_integration,0,reject,reject,0,weak,research_priority,quality_compounder,medium,7.8128,4.65,-0.1,3,technology,0.9703,0,4148.0,0.0,0,1,0.8875,3.1325,-2418.1563,21.5645,9.6399,0
5713.T,legacy_universe_gap,1,9,2026-03-27,2026-04-11,watch_queue,watch_queue,0,watch,watch,0,weak,watchlist,emerging_leader,low,5.9302,3.8083,-0.1364,3,industrial-compounders,,0,4148.0,-0.0011,0,1,0.8875,1.1719,162.2288,15.8177,9.4506,0
1605.T,legacy_universe_gap,1,9,2026-03-27,2026-04-11,watch_queue,watch_queue,0,review,review,0,mixed_long,reserve,fringe,low,5.6002,4.9667,-0.2257,3,oil-gas,0.7386,0,4148.0,-0.0011,0,1,0.8875,0.7032,5104.4506,16.0215,9.3539,0
NBIS,quality_lane,1,11,2026-03-23,2026-04-11,watch_queue,watch_queue,0,watch,watch,0,weak,watchlist,persistent_leader,medium,7.3769,3.0417,0.3569,3,communication-services,0.9527,0,536.0,0.0,0,1,0.7694,2.3373,139.9718,21.518,9.3268,0
VIAV,legacy_universe_gap,1,13,2026-03-20,2026-04-11,watch_queue,watch_queue,0,watch,watch,0,weak,watchlist,quality_compounder,medium,7.4275,2.9317,0.035,3,optical-networking,0.9862,0,4148.0,0.0,0,1,0.8875,2.5411,133.4895,19.5557,9.2366,0
PL,quality_lane,1,11,2026-03-23,2026-04-11,watch_queue,watch_queue,0,reject,reject,0,weak,archive,quality_compounder,high,9.1763,5.4333,-0.2498,3,space-defense,0.8874,0,1810.0,0.0,0,1,0.8452,4.376,-1031.4188,24.6218,9.0151,0
042660.KS,legacy_universe_gap,1,8,2026-03-28,2026-04-11,watch_queue,watch_queue,0,review,review,0,mixed_long,reserve,fringe,low,5.0941,3.6389,-0.2593,2,space-defense,0.4209,0,4148.0,0.0014,0,1,0.8875,0.3824,5132.1261,12.8584,8.2236,0
OVV,legacy_universe_gap,1,11,2026-03-23,2026-04-11,watch_queue,watch_queue,0,watch,watch,0,robust_long,watchlist,fringe,weak,0.0,3.75,0.0,2,oil-gas,0.9947,0,4148.0,0.0,0,2,0.925,0.4544,516.2164,14.2634,8.2213,0
8046.TW,quality_lane,1,8,2026-03-28,2026-04-11,watch_queue,watch_queue,0,watch,watch,0,mixed_long,watchlist,quality_compounder,medium,7.8122,1.7278,-0.6094,1,technology,,0,,0.0027,0,1,0.4875,2.3697,306.7989,18.9055,8.2121,0
034020.KS,legacy_universe_gap,1,8,2026-03-28,2026-04-11,watch_queue,watch_queue,0,reject,reject,0,weak,archive,fringe,medium,7.4662,4.9667,-0.1576,3,industrial-compounders,0.691,0,4148.0,0.0014,0,1,0.8875,1.4778,-243.5408,17.6855,8.1599,0
CCO.TO,legacy_universe_gap,1,11,2026-03-23,2026-04-11,watch_queue,watch_queue,0,review,review,0,weak,reserve,fringe,low,5.3838,3.05,-0.0508,3,energy,0.9975,0,4148.0,-0.016,0,1,0.8875,0.9527,129.942,12.6606,8.0142,0
SATS,legacy_universe_gap,1,11,2026-03-23,2026-04-11,watch_queue,watch_queue,0,reject,reject,0,weak,archive,persistent_leader,medium,7.9977,4.3667,-0.1835,3,communication-services,0.8632,0,4148.0,0.0,0,1,0.8875,2.1179,-589.1161,20.6876,7.8837,0
1428.HK,quality_lane,1,9,2026-03-27,2026-04-11,watch_queue,watch_queue,0,reject,reject,0,weak,archive,fringe,medium,7.35,4.3583,-0.0448,3,financial-services,0.4936,0,4148.0,-0.0005,0,1,0.8875,1.68,-2662.8071,15.5153,7.7428,0
9501.T,legacy_universe_gap,1,9,2026-03-27,2026-04-11,watch_queue,watch_queue,0,review,review,0,mixed_long,reserve,fringe,weak,0.0,3.75,0.0,3,utilities,0.9425,0,4148.0,-0.0011,0,1,0.8875,0.124,5352.8995,13.0256,7.4749,0
COHR,legacy_universe_gap,1,12,2026-03-20,2026-04-11,watch_queue,watch_queue,0,reject,reject,0,weak,archive,persistent_leader,medium,7.806,3.75,-0.188,3,technology,0.9423,0,4148.0,0.0,0,1,0.8875,2.4491,-1073.8015,19.0574,7.4435,0
AMPX,quality_lane,1,14,2026-03-20,2026-04-11,watch_queue,watch_queue,0,reject,reject,0,weak,archive,persistent_leader,medium,8.1407,3.4556,-0.2923,2,industrial-compounders,0.936,0,1303.0,0.0,0,1,0.8151,2.4178,-684.421,18.0271,7.2026,0
005930.KS,quality_lane,1,8,2026-03-28,2026-04-11,watch_queue,watch_queue,0,reject,reject,0,weak,archive,emerging_leader,medium,6.4978,3.3667,-0.1076,3,technology,,0,,0.0014,0,2,0.525,1.6077,144.9193,14.2243,6.882,0
AR,legacy_universe_gap,1,11,2026-03-23,2026-04-11,watch_queue,watch_queue,0,review,review,0,mixed_long,reserve,fringe,weak,0.0,2.95,0.0,2,oil-gas,0.9421,0,4148.0,0.0,0,1,0.8875,0.2061,1895.9324,14.2833,6.8415,0
LRCX,legacy_selection_gap,1,14,2026-03-20,2026-04-11,watch_queue,watch_queue,0,watch,watch,0,weak,watchlist,nan,weak,0.0,1.4,0.0,3,semiconductors,0.9959,0,4148.0,0.0,0,2,0.925,0.0,59.0342,6.7685,6.62,1
