ticker,source_names,source_types,seed_hits,etf_hits,name,rating,market weight,sector_key,symbol,Name,Holding Percent,etf_name,industry_key,seed,source_count,source_type_count,sources,is_active,is_reserve,is_hard_exclusion,candidate_status,ytd return,growth estimate,last price,target price,marketCap,averageDailyVolume3Month,regularMarketPrice,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,regularMarketChangePercent,sector,industry,priority_score
NXPI,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,NXP Semiconductors N.V.,Strong Buy,0.0023744132,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,1,0,0,active,,,,,,,,,,,,,37.5
UI,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,Ubiquiti Inc.,Hold,0.0022706152,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,1,0,0,active,,,,,,,,,,,,,37.5
CAT,"{'VRT', 'industrials', 'BE', 'XLI'}",etf_holding|sector_top_company|seed_peer,BE|VRT,XLI,Caterpillar Inc.,Buy,0.050135333,industrials,CAT,Caterpillar Inc,0.0639929,State Street Industrial Select ,electrical-equipment-parts,BE,4,3,BE|VRT|XLI|industrials,1,0,0,active,,,,,,,,,,,,,33.5
GE,"{'VRT', 'industrials', 'BE', 'XLI'}",etf_holding|sector_top_company|seed_peer,BE|VRT,XLI,GE Aerospace,Strong Buy,0.045917653,industrials,GE,GE Aerospace,0.0664574,State Street Industrial Select ,electrical-equipment-parts,BE,4,3,BE|VRT|XLI|industrials,1,0,0,active,,,,,,,,,,,,,33.5
RTX,"{'VRT', 'industrials', 'BE', 'XLI'}",etf_holding|sector_top_company|seed_peer,BE|VRT,XLI,RTX Corporation,Buy,0.03937879,industrials,RTX,RTX Corp,0.0500102,State Street Industrial Select ,electrical-equipment-parts,BE,4,3,BE|VRT|XLI|industrials,1,0,0,active,,,,,,,,,,,,,33.5
VRT,"{'VRT', 'industrials', 'BE'}",industry_top_growth|industry_top_performing|sector_top_company|seed_peer,BE|VRT,,Vertiv Holdings Co,Strong Buy,0.014863351,industrials,,,,,electrical-equipment-parts,,3,4,BE|VRT|industrials,1,0,0,active,0.5735,0.519774011299435,254.92,267.826,,,,,,,,,28.0
DE,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,Deere & Company,Buy,0.023934783,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,1,0,0,active,,,,,,,,,,,,,25.5
BA,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,The Boeing Company,Buy,0.023321753,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,1,0,0,active,,,,,,,,,,,,,25.5
ETN,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,Eaton Corporation plc,Buy,0.02127232,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,1,0,0,active,,,,,,,,,,,,,25.5
PH,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,Parker-Hannifin Corporation,Buy,0.017386071,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,1,0,0,active,,,,,,,,,,,,,25.5
NOC,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,Northrop Grumman Corporation,Buy,0.015069327,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,1,0,0,active,,,,,,,,,,,,,25.5
HWM,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,Howmet Aerospace Inc.,Strong Buy,0.014203927,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,1,0,0,active,,,,,,,,,,,,,25.5
WM,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,"Waste Management, Inc.",Buy,0.013919637,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,1,0,0,active,,,,,,,,,,,,,25.5
TT,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,Trane Technologies plc,Buy,0.013837416,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,1,0,0,active,,,,,,,,,,,,,25.5
PWR,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,"Quanta Services, Inc.",Buy,0.012527204,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,1,0,0,active,,,,,,,,,,,,,25.5
LHX,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,"L3Harris Technologies, Inc.",Buy,0.009949538,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,1,0,0,active,,,,,,,,,,,,,25.5
TDG,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,TransDigm Group Incorporated,Buy,0.00992096,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,1,0,0,active,,,,,,,,,,,,,25.5
FAST,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,Fastenal Company,Hold,0.007889833,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,1,0,0,active,,,,,,,,,,,,,25.5
CARR,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,Carrier Global Corporation,Buy,0.007009617,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,1,0,0,active,,,,,,,,,,,,,25.5
RKLB,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,Rocket Lab Corporation,Buy,0.005691826,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,1,0,0,active,,,,,,,,,,,,,25.5
BE,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,Bloom Energy Corporation,Buy,0.00568928,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,1,0,0,active,,,,,,,,,,,,,25.5
AXON,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,"Axon Enterprise, Inc.",Buy,0.0055427607,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,1,0,0,active,,,,,,,,,,,,,25.5
SMCI,"{'WDC', 'SNDK'}",industry_top_growth,,,"Super Micro Computer, Inc.",,,technology,,,,,computer-hardware,,2,1,SNDK|WDC,1,0,0,active,-0.2417,0.511996378451788,,,,,,,,,,,17.5
FTNT,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,"Fortinet, Inc.",Hold,0.0028550187,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,0,0,1,hard_exclusion,,,,,,,,,,,,,37.5
DELL,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",industry_top_performing|sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,Dell Technologies Inc.,Buy,0.005582988,technology,,,,,computer-hardware,,5,3,LITE|MU|SNDK|WDC|technology,0,0,0,new,0.4061,,177.0,168.609,,,,,,,,,40.0
STX,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",industry_top_growth|industry_top_performing|sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,Seagate Technology Holdings plc,Buy,0.004071463,technology,,,,,computer-hardware,,5,4,LITE|MU|SNDK|WDC|technology,0,0,0,new,0.3865,4.829457364341085,381.83,475.354,,,,,,,,,40.0
