ticker,source_names,source_types,seed_hits,etf_hits,name,rating,market weight,sector_key,symbol,Name,Holding Percent,etf_name,industry_key,seed,source_count,source_type_count,sources,is_active,is_reserve,is_hard_exclusion,candidate_status,ytd return,growth estimate,last price,target price,marketCap,averageDailyVolume3Month,regularMarketPrice,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,regularMarketChangePercent,sector,industry,priority_score,recent_bars,recent_score,recent_r63,recent_r126,recent_r252,scan_bars_if_added,scan_latest_rank_if_added,scan_latest_score_if_added,scan_days_top15_if_added,scan_days_top5_if_added,scan_top15_now_if_added,scan_top5_now_if_added,scan_rank_component,scan_persistence_component,scan_bars_component,scan_top5_share,scan_rel_recent_score,scan_rr_score,scan_breakout252_component,scan_trend200_component,scan_dist_sma220,scan_dd60,scan_r21,scan_entry_heat_flag,scan_pullback_quality,recent_rel_r63,recent_rel_r126,recent_rel_r252,scan_algo_compat_score,scan_algo_compat_score_v2,scan_recent_score_pct,scan_emerging_score,scan_emerging_score_v2,scan_algo_fit,scan_candidate_track
EXTR,{'LITE'},industry_top_growth,,,"Extreme Networks, Inc.",,,technology,,,,,communication-equipment,,1,1,LITE,0,0,0,new,-0.0739,1.40625,,,,,,,,,,,11.5,3076,-0.12560276761537945,-0.08348244090574608,-0.2834499142715734,0.011184215685997811,3161,121.0,0.012569345810136356,741.0,311.0,0,0,0.0,1.0,1.0,0.41970310391363025,-0.15154429014114412,-0.40374594827548366,0.06470767476890937,0.0,-0.12696610047440016,-0.08999405322778964,0.09785713468279167,0,0.0,-0.024389265608987465,-0.26702987778479503,-0.09963621476357154,4.533333333333333,4.285194375441644,0.15,1.9833333333333334,1.5230410081022427,weak,fringe
MPWR,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,"Monolithic Power Systems, Inc.",Strong Buy,0.0025079707,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,0,0,0,new,,,,,,,,,,,,,37.5,3076,0.37539681052146445,0.13507499746266327,0.17893113061671073,0.6920233969556187,3161,30.0,0.5686181052960467,196.0,0.0,0,0,0.0,0.6859999999999999,1.0,0.0,0.32666533341500226,0.8337846442635405,0.626724281363231,0.09719248182493863,0.17342279432433827,-0.13064650152286916,-0.13064650152286916,0,1.0,0.20825983187687336,0.20594681670157988,0.5065866008974891,4.391333333333333,5.353550057912901,0.6166666666666667,4.183333333333334,5.1767242813632315,low,fringe
EME,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,"EMCOR Group, Inc.",Buy,0.004986256,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5,3076,0.4095468519094096,0.16830218201487512,0.1666613252666178,0.7730547134994685,3161,34.0,0.5142863202395396,271.0,0.0,0,0,0.0,0.7,1.0,0.0,0.3575791363126902,1.0989546041736067,0.7124719085008047,0.08654801946370982,0.15841722412305348,-0.10063483202471835,-0.08830755020423331,0,1.0,0.24362936473641272,0.1933958437743044,0.5787373146392147,4.366666666666666,5.449411956778709,0.6333333333333333,4.166666666666666,5.362471908500805,low,fringe
HLIT,{'LITE'},industry_top_growth,,,Harmonic Inc.,,,technology,,,,,communication-equipment,,1,1,LITE,0,0,0,new,-0.046,0.9189189189189189,,,,,,,,,,,11.5,3076,-0.05787972396733485,-0.05649995803833008,-0.0460060574227632,-0.07044327347640889,3161,125.0,-0.0062688853423282336,324.0,84.0,0,0,0.0,0.952,1.0,0.25925925925925924,-0.07771847815745066,-0.15151162525473874,0.6069471876488288,0.0,-0.03077813379548644,-0.1375684843229099,-0.08752415083327525,0,1.0,0.004332933616510992,-0.02414489843712231,-0.17231776376475982,4.322666666666667,4.834494238515223,0.23333333333333334,2.1666666666666665,2.8736138543154954,weak,fringe
PSTG,"{'WDC', 'SNDK'}",industry_top_growth,,,"Everpure, Inc.",,,technology,,,,,computer-hardware,,2,1,SNDK|WDC,0,0,0,new,-0.0642,0.14084507042253536,,,,,,,,,,,17.5,2633,-0.045902522579499644,-0.06927302311966377,-0.262109584722652,0.18198978983373482,2707,97.0,0.0958795199285988,251.0,44.0,0,0,0.0,0.832,1.0,0.1752988047808765,-0.07895295778593292,-0.07747193477820259,0.0,0.0,-0.10669095624531666,-0.1767258632752362,-0.14885803849463208,0,1.0,-0.009263684670583583,-0.24520052590957397,0.052449973780033465,4.296,4.365698804780877,0.2833333333333333,2.65,2.541666666666666,weak,fringe
URI,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,"United Rentals, Inc.",Buy,0.0071970816,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5,3076,-0.04718510691268756,-0.09279202283879873,-0.20712133327941495,0.13555457741709542,3161,125.0,-0.004314931806739794,241.0,19.0,0,0,0.0,0.7569999999999999,1.0,0.07883817427385892,-0.07799917072460091,-0.10043294882499906,0.22117653213629196,0.0,-0.12193362313913925,-0.22389931654109474,-0.13166209899472647,0,0.0,-0.03429909000510112,-0.1889521963321975,0.011103814523245825,3.771,3.7152774268889677,0.26666666666666666,2.3,2.279509865469625,weak,fringe
GWW,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,"W.W. Grainger, Inc.",Hold,0.00768786,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5,3076,0.08517443860664939,0.040033195875575744,0.11749029082218088,0.07542920775665474,3161,97.0,0.09485121706703259,151.0,46.0,0,0,0.0,0.6665,1.0,0.304635761589404,0.06168438810393999,0.30919773531546835,0.6731015340883498,0.02772935657768964,0.03603575826652894,-0.11441446306907754,-0.046805381897759624,0,1.0,0.10709013695487157,0.1430980350879112,-0.042432133305497,3.7661666666666664,4.846434295989027,0.4166666666666667,3.0166666666666666,3.981434867421683,weak,fringe
ODFL,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,"Old Dominion Freight Line, Inc.",Hold,0.0060120593,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5,3076,0.22233921452785713,0.1886269013363706,0.3365943325485792,0.12494025310287826,3161,68.0,0.2553540232694815,150.0,0.0,0,0,0.0,0.5249999999999999,1.0,0.0,0.20060318675276334,0.4827447041087952,0.6345805760405808,0.11822372764099527,0.17388484851312214,-0.1278967983857967,-0.016484109089279553,0,1.0,0.2652645359852117,0.36722293499464276,0.0016527638946597367,3.6416666666666666,4.656682582208946,0.5333333333333333,3.666666666666667,4.6262472427072465,weak,fringe
CSX,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,CSX Corporation,Buy,0.011233439,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5,3076,0.22299141791282678,0.08383440982025459,0.17260501415002305,0.3429563257219166,3161,76.0,0.22605699852811229,141.0,0.0,0,0,0.0,0.49349999999999994,1.0,0.0,0.18884355966345673,0.9704697358985515,0.767530553808883,0.06773992037657169,0.11489042607781919,-0.08136430616689094,-0.06069398213904942,0,1.0,0.15371546789344825,0.1994757347045384,0.19577543050737933,3.5138333333333334,4.728528951177939,0.55,3.6833333333333336,4.925863887142216,weak,fringe
NVT,"{'VRT', 'BE'}",industry_top_growth,,,nVent Electric plc,,,industrials,,,,,electrical-equipment-parts,,2,1,BE|VRT,0,0,0,new,0.1767,0.1896551724137931,,,,,,,,,,,17.5,1992,0.5428176623791302,0.15215927199271828,0.23152056183468783,1.0494439581167785,2049,19.0,0.7171183638266316,23.0,0.0,0,0,0.15,0.0805,1.0,0.0,0.479119973275553,1.2901364994263194,0.8375830677164425,0.14107903758494134,0.24882126007774907,-0.05684592629924512,-0.016502480179547585,0,1.0,0.22644562816131808,0.25974135611313187,0.8248357629950915,3.3581666666666665,4.96929726318083,0.7,5.066666666666666,6.287583067716443,weak,fringe
