ticker,source_names,source_types,seed_hits,etf_hits,name,rating,market weight,sector_key,industry_key,symbol,Name,Holding Percent,seed,source_count,source_type_count,sources,is_active,is_reserve,is_hard_exclusion,candidate_status,ytd return,growth estimate,last price,target price,marketCap,averageDailyVolume3Month,regularMarketPrice,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,regularMarketChangePercent,sector,industry,priority_score,recent_bars,recent_score,recent_r63,recent_r126,recent_r252,scan_bars_if_added,scan_latest_rank_if_added,scan_latest_score_if_added,scan_days_top15_if_added,scan_days_top5_if_added,scan_top15_now_if_added,scan_top5_now_if_added,scan_rank_component,scan_persistence_component,scan_bars_component,scan_top5_share,scan_rel_recent_score,scan_rr_score,scan_breakout252_component,scan_trend200_component,scan_dist_sma220,scan_dd60,scan_r21,scan_entry_heat_flag,scan_pullback_quality,recent_rel_r63,recent_rel_r126,recent_rel_r252,scan_algo_compat_score,scan_algo_compat_score_v2,scan_recent_score_pct,scan_emerging_score,scan_emerging_score_v2,scan_algo_fit,scan_candidate_track
MSI,"{'LITE', 'WDC', 'SNDK'}",seed_peer,LITE|SNDK|WDC,,"Motorola Solutions, Inc.",Buy,0.0034100595,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,,,,,,,,,24.0,3081,0.016024324358864785,0.14515283070992457,-0.03932769025616123,0.006812085798360901,3166,117.0,0.03674095010079706,86.0,0.0,0,0,0.0,0.301,1.0,0.0,-0.025720676884561214,0.06682426232864261,0.7008245819404684,0.01736099173248477,0.028341036141225295,-0.09699449778301661,-0.08207691328358002,0,1.0,0.19070883978805608,-0.020841680860035017,-0.13881443124539605,2.503,3.428111344203772,0.3,2.5,3.363324581940468,weak,fringe
SNPS,"{'LITE', 'WDC', 'SNDK'}",seed_peer,LITE|SNDK|WDC,,"Synopsys, Inc.",Buy,0.0035377662,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,,,,,,,,,24.0,3081,-0.1440720384964277,-0.15705098531456874,-0.18992181923176843,-0.09173278435201637,3166,146.0,-0.11932624255005853,112.0,0.0,0,0,0.0,0.392,1.0,0.0,-0.1836791503023319,-0.3290086613842221,0.0,0.0,-0.1866758366052752,-0.25771432474864564,-0.08127986887171001,0,0.0,-0.12351712683246119,-0.17433366007552975,-0.22310565226406942,2.426,2.3149,0.125,1.625,1.3,weak,fringe
JCI,{'BE'},seed_peer,BE,,Johnson Controls International plc,Buy,0.012236915,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,,,,,,,,,12.0,3081,0.36395080861003265,0.11039666990148755,0.2211406186612932,0.6335380679130447,3166,53.0,0.40193769957282915,1.0,0.0,0,0,0.0,0.0034999999999999996,1.0,0.0,0.2876739689347876,1.120498042493536,0.7546698175900283,0.0952780504534183,0.15658591354759022,-0.08586556384349009,-0.05021427699497771,0,1.0,0.15457002337693537,0.24463876336849655,0.3972611472800047,2.3605,4.125168720826068,0.675,4.375,5.704669817590028,weak,fringe
AME,{'BE'},seed_peer,BE,,"AMETEK, Inc.",Buy,0.007518189,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,,,,,,,,,12.0,3081,0.1864546872921229,0.06322144991421896,0.1645859498661193,0.26994004340707844,3166,80.0,0.23843808879944886,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.1304037018925575,0.8071964655158338,0.7258343554864424,0.06412659475091569,0.10644659293311842,-0.09595797557974517,-0.07011717449996668,0,1.0,0.10551809777241683,0.18699582531840786,0.08625438052677747,2.15,3.7064765701424145,0.55,3.8,4.9508343554864425,weak,fringe
CSCO,"{'LITE', 'WDC', 'SNDK'}",seed_peer,LITE|SNDK|WDC,,"Cisco Systems, Inc.",Buy,0.014562427,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,,,,,,,,,24.0,3081,0.17637581566564287,0.025834063290993914,0.14938176935369318,0.27864073816491697,3166,82.0,0.22633200821137775,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.11940694436729765,0.4948538385906822,0.7445098526524336,0.052446452428131916,0.09097134569127507,-0.08942155157164822,-0.02287629579181405,0,1.0,0.06664338118000401,0.17149907405010345,0.09369659627813864,2.1,3.5031737830483394,0.5,3.6,4.5945098526524335,weak,fringe
ADSK,"{'LITE', 'WDC', 'SNDK'}",seed_peer,LITE|SNDK|WDC,,"Autodesk, Inc.",Strong Buy,0.0023541716,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,,,,,,,,,24.0,3081,-0.1776200575725024,-0.19570286822542982,-0.24593800542652844,-0.10026070439201262,3166,153.0,-0.16993285634224545,83.0,0.0,0,0,0.0,0.2905,1.0,0.0,-0.21747246358405292,-0.4579503622446583,0.22440357595945504,0.0,-0.1729359801654834,-0.18962525985749734,-0.07681574195258523,0,1.0,-0.16370664339496543,-0.23142775362103618,-0.23040008364161335,2.0715,2.403742145575673,0.1,1.5,1.624403575959455,weak,fringe
MMM,{'BE'},seed_peer,BE,,3M Company,Buy,0.011440918,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,,,,,,,,,12.0,3081,-0.05775736921224671,-0.09762651022453195,-0.07391024858523643,-0.02166991933311435,3166,129.0,-0.018135833183357472,48.0,0.0,0,0,0.0,0.16799999999999998,1.0,0.0,-0.10005231767932941,-0.18262773261674484,0.506819290593835,0.0,-0.08189180007548014,-0.17261324829215774,-0.10205729524045093,0,1.0,-0.061728651188029726,-0.056089703876422536,-0.16317676472788611,2.0540000000000003,2.8161915743563006,0.225,2.225,2.7443192905938347,weak,fringe
PCAR,{'BE'},seed_peer,BE,,PACCAR Inc,Buy,0.009355707,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,,,,,,,,,12.0,3081,0.18197585665739902,0.08044925017565174,0.21093031218364588,0.20378470437202578,3166,82.0,0.22310719091468828,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.1302461742364193,0.7084544940767374,0.7537403150853511,0.07332218663629735,0.12214558666366071,-0.08619088972012712,-0.05283380220030964,0,1.0,0.12343124745102707,0.23423198217249985,0.02966782969303483,2.05,3.588737501032989,0.525,3.625,4.778740315085352,weak,fringe
TEL,"{'LITE', 'WDC', 'SNDK'}",seed_peer,LITE|SNDK|WDC,,TE Connectivity plc,Buy,0.002862409,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,,,,,,,,,24.0,3081,0.15539024387957048,-0.08105132797611281,-0.05692631592858155,0.48592758961556415,3166,85.0,0.21245930744510588,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.08399009321997747,0.3903234657448779,0.5418245246611446,0.0,-0.005569116131604934,-0.13749994806723886,0.00023922615412752535,0,1.0,-0.0444940817095999,-0.03877895307846224,0.27100122698320583,2.0,3.2050947147966866,0.475,3.425,4.179324524661144,weak,fringe
FERG,{'BE'},seed_peer,BE,,Ferguson Enterprises Inc.,Buy,0.007096434,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,,,,,,,,,12.0,3081,0.21310274368380025,0.055877474592674004,0.04248526142035636,0.4623328604928072,3166,89.0,0.18887039793316873,1.0,0.0,0,0,0.0,0.0034999999999999996,1.0,0.0,0.14492233257357712,0.6757100977741136,0.6549331046797733,0.0,0.014063073460286013,-0.12077341336207936,-0.0488002157581493,0,1.0,0.09788196737999777,0.06254557974375907,0.25081926800018484,1.9605,3.448159862807864,0.575,3.675,4.8049331046797725,weak,fringe
